时段序号,计划购电量_kWh,充电量_kWh,放电量_kWh,储电量_kWh
1,1406.6411000000,833.3333333333,0.0000000000,6750.0000000000
2,1406.3298666667,833.3333333333,0.0000000000,7500.0000000000
3,1407.3838500000,833.3333333333,0.0000000000,8250.0000000000
4,1409.0739500000,833.3333333333,0.0000000000,9000.0000000000
5,1409.8045500000,833.3333333333,0.0000000000,9750.0000000000
6,576.6400166667,0.0000000000,0.0000000000,9750.0000000000
7,577.8597000000,0.0000000000,0.0000000000,9750.0000000000
8,577.9938666667,0.0000000000,0.0000000000,9750.0000000000
9,911.1613833333,333.3333333333,0.0000000000,10050.0000000000
10,580.4154500000,0.0000000000,0.0000000000,10050.0000000000
11,582.5140166667,0.0000000000,0.0000000000,10050.0000000000
12,583.0740500000,0.0000000000,0.0000000000,10050.0000000000
13,584.2049166667,0.0000000000,0.0000000000,10050.0000000000
14,585.4397833333,0.0000000000,0.0000000000,10050.0000000000
15,586.1447500000,0.0000000000,0.0000000000,10050.0000000000
16,586.3207666667,0.0000000000,0.0000000000,10050.0000000000
17,586.4253000000,0.0000000000,0.0000000000,10050.0000000000
18,586.8496000000,0.0000000000,0.0000000000,10050.0000000000
19,587.8210166667,0.0000000000,0.0000000000,10050.0000000000
20,589.5475666667,0.0000000000,0.0000000000,10050.0000000000
21,590.8134666667,0.0000000000,0.0000000000,10050.0000000000
22,590.2131166667,0.0000000000,0.0000000000,10050.0000000000
23,591.0662666667,0.0000000000,0.0000000000,10050.0000000000
24,593.3678333333,0.0000000000,0.0000000000,10050.0000000000
25,593.6596833333,0.0000000000,0.0000000000,10050.0000000000
26,592.7863833333,0.0000000000,0.0000000000,10050.0000000000
27,593.3378666667,0.0000000000,0.0000000000,10050.0000000000
28,596.6757666667,0.0000000000,0.0000000000,10050.0000000000
29,597.7802500000,0.0000000000,0.0000000000,10050.0000000000
30,595.1625000000,0.0000000000,0.0000000000,10050.0000000000
31,590.6065000000,0.0000000000,0.0000000000,10050.0000000000
32,589.4851833333,0.0000000000,0.0000000000,10050.0000000000
33,578.4554500000,0.0000000000,0.0000000000,10050.0000000000
34,1383.6597833333,833.3333333333,0.0000000000,10800.0000000000
35,591.1402000000,0.0000000000,0.0000000000,10800.0000000000
36,0.0000000000,0.0000000000,668.2538833333,10057.4956851852
37,0.0000000000,0.0000000000,655.4553333333,9329.2119814815
38,0.0000000000,0.0000000000,616.5040333333,8644.2075000000
39,0.0000000000,0.0000000000,591.4544833333,7987.0358518519
40,0.0000000000,0.0000000000,557.4868666667,7367.6060000000
41,0.0000000000,0.0000000000,529.2397000000,6779.5618888889
42,0.0000000000,0.0000000000,502.4707166667,6221.2610925926
43,0.0000000000,0.0000000000,455.4435666667,5715.2126851852
44,0.0000000000,0.0000000000,410.0667000000,5259.5830185185
45,0.0000000000,0.0000000000,356.9967833333,4862.9199259259
46,0.0000000000,0.0000000000,283.3635666667,4548.0715185185
47,0.0000000000,0.0000000000,320.6841166667,4191.7558333333
48,0.0000000000,0.0000000000,418.4214500000,3726.8431111111
49,0.0000000000,0.0000000000,381.9107833333,3302.4977962963
50,0.0000000000,0.0000000000,309.5563500000,2958.5462962963
51,0.0000000000,0.0000000000,264.6194000000,2664.5247407407
52,0.0000000000,0.0000000000,213.7408000000,2427.0349629630
53,0.0000000000,0.0000000000,178.5589166667,2228.6361666667
54,0.0000000000,0.0000000000,155.3921166667,2055.9782592593
55,0.0000000000,0.0000000000,112.2595000000,1931.2454814815
56,0.0000000000,0.0000000000,64.3968666667,1859.6934074074
57,0.0000000000,0.0000000000,22.5622500000,1834.6242407407
58,0.0000000000,17.4240666667,0.0000000000,1850.3059007407
59,0.0000000000,52.8377666667,0.0000000000,1897.8598907407
