时段序号,时段起,时段止,电价_元每kWh,负载_kW,光伏_kW,计划购电量_kWh,充电量_kWh,放电量_kWh,储电量_kWh
1,0:00,0:10,0.4248,3439.8466,0.0000,1406.6411,833.3333,0.0000,6750.0000
2,0:10,0:20,0.4245,3437.9792,0.0000,1406.3299,833.3333,0.0000,7500.0000
3,0:20,0:30,0.4269,3444.3031,0.0000,1407.3838,833.3333,0.0000,8250.0000
4,0:30,0:40,0.4272,3454.4437,0.0000,1409.0740,833.3333,0.0000,9000.0000
5,0:40,0:50,0.4271,3458.8273,0.0000,1409.8045,833.3333,0.0000,9750.0000
6,0:50,1:00,0.4285,3459.8401,0.0000,576.6400,0.0000,0.0000,9750.0000
7,1:00,1:10,0.4311,3467.1582,0.0000,577.8597,0.0000,0.0000,9750.0000
8,1:10,1:20,0.4302,3467.9632,0.0000,577.9939,0.0000,0.0000,9750.0000
9,1:20,1:30,0.4279,3466.9683,0.0000,911.1614,333.3333,0.0000,10050.0000
10,1:30,1:40,0.4312,3482.4927,0.0000,580.4154,0.0000,0.0000,10050.0000
11,1:40,1:50,0.4333,3495.0841,0.0000,582.5140,0.0000,0.0000,10050.0000
12,1:50,2:00,0.4311,3498.4443,0.0000,583.0740,0.0000,0.0000,10050.0000
13,2:00,2:10,0.4293,3505.2295,0.0000,584.2049,0.0000,0.0000,10050.0000
14,2:10,2:20,0.4324,3512.6387,0.0000,585.4398,0.0000,0.0000,10050.0000
15,2:20,2:30,0.4367,3516.8685,0.0000,586.1447,0.0000,0.0000,10050.0000
16,2:30,2:40,0.4348,3517.9246,0.0000,586.3208,0.0000,0.0000,10050.0000
17,2:40,2:50,0.4335,3518.5518,0.0000,586.4253,0.0000,0.0000,10050.0000
18,2:50,3:00,0.4357,3521.0976,0.0000,586.8496,0.0000,0.0000,10050.0000
19,3:00,3:10,0.4374,3526.9261,0.0000,587.8210,0.0000,0.0000,10050.0000
20,3:10,3:20,0.4371,3537.2854,0.0000,589.5476,0.0000,0.0000,10050.0000
21,3:20,3:30,0.4356,3544.8808,0.0000,590.8135,0.0000,0.0000,10050.0000
22,3:30,3:40,0.4353,3541.2787,0.0000,590.2131,0.0000,0.0000,10050.0000
23,3:40,3:50,0.4360,3546.3976,0.0000,591.0663,0.0000,0.0000,10050.0000
24,3:50,4:00,0.4378,3560.2070,0.0000,593.3678,0.0000,0.0000,10050.0000
25,4:00,4:10,0.4401,3561.9581,0.0000,593.6597,0.0000,0.0000,10050.0000
26,4:10,4:20,0.4389,3556.7183,0.0000,592.7864,0.0000,0.0000,10050.0000
27,4:20,4:30,0.4364,3560.0272,0.0000,593.3379,0.0000,0.0000,10050.0000
28,4:30,4:40,0.4393,3580.6540,0.5994,596.6758,0.0000,0.0000,10050.0000
29,4:40,4:50,0.4422,3586.9160,0.2345,597.7802,0.0000,0.0000,10050.0000
30,4:50,5:00,0.4395,3571.2635,0.2885,595.1625,0.0000,0.0000,10050.0000
31,5:00,5:10,0.4333,3562.3171,18.6781,590.6065,0.0000,0.0000,10050.0000
32,5:10,5:20,0.4439,3591.3809,54.4698,589.4852,0.0000,0.0000,10050.0000
33,5:20,5:30,0.4301,3579.7045,108.9718,578.4554,0.0000,0.0000,10050.0000
34,5:30,5:40,0.3713,3486.1190,184.1603,1383.6598,833.3333,0.0000,10800.0000
35,5:40,5:50,0.5708,3823.8994,277.0582,591.1402,0.0000,0.0000,10800.0000
36,5:50,6:00,0.9099,4398.0727,388.5494,0.0000,0.0000,668.2539,10057.4957
37,6:00,6:10,0.9368,4454.0123,521.2803,0.0000,0.0000,655.4553,9329.2120
38,6:10,6:20,0.8758,4371.7919,672.7677,0.0000,0.0000,616.5040,8644.2075
39,6:20,6:30,0.8759,4392.9530,844.2261,0.0000,0.0000,591.4545,7987.0359
40,6:30,6:40,0.8601,4384.5956,1039.6744,0.0000,0.0000,557.4869,7367.6060
41,6:40,6:50,0.8442,4434.7757,1259.3375,0.0000,0.0000,529.2397,6779.5619
42,6:50,7:00,0.8334,4523.4561,1508.6318,0.0000,0.0000,502.4707,6221.2611
