时段序号,计划购电量_kWh,充电量_kWh,放电量_kWh,储电量_kWh
1,1383.1781,833.3333,0.0000,1950.0000
2,1403.6468,833.3333,0.0000,2700.0000
3,1447.1850,833.3333,0.0000,3450.0000
4,1412.7895,833.3333,0.0000,4200.0000
5,1383.7782,833.3333,0.0000,4950.0000
6,1404.4900,833.3333,0.0000,5700.0000
7,1434.9224,833.3333,0.0000,6450.0000
8,1444.8171,833.3333,0.0000,7200.0000
9,1431.5500,833.3333,0.0000,7950.0000
10,583.9359,0.0000,0.0000,7950.0000
11,590.9950,0.0000,0.0000,7950.0000
12,1265.1100,666.6667,0.0000,8550.0000
13,1399.3169,833.3333,0.0000,9300.0000
14,546.1208,0.0000,0.0000,9300.0000
15,565.7133,0.0000,0.0000,9300.0000
16,597.9266,0.0000,0.0000,9300.0000
17,600.9545,0.0000,0.0000,9300.0000
18,587.1317,0.0000,0.0000,9300.0000
19,605.2103,0.0000,0.0000,9300.0000
20,621.8924,0.0000,0.0000,9300.0000
21,620.1683,0.0000,0.0000,9300.0000
22,616.6231,0.0000,0.0000,9300.0000
23,612.4637,0.0000,0.0000,9300.0000
24,603.9300,0.0000,0.0000,9300.0000
25,589.7946,0.0000,0.0000,9300.0000
26,581.4640,0.0000,0.0000,9300.0000
27,585.5850,0.0000,0.0000,9300.0000
28,599.7251,0.0000,0.0000,9300.0000
29,616.7393,0.0000,0.0000,9300.0000
30,625.5950,0.0000,0.0000,9300.0000
31,619.4339,0.0000,0.0000,9300.0000
32,617.8444,0.0000,0.0000,9300.0000
33,1440.4483,833.3333,0.0000,10050.0000
34,1408.7634,833.3333,0.0000,10800.0000
35,671.4631,-0.0000,0.0000,10800.0000
36,0.0000,0.0000,827.0150,9881.0944
37,0.0000,0.0000,791.9499,9001.1501
38,0.0000,0.0000,709.9633,8212.3019
39,0.0000,0.0000,671.3708,7466.3344
40,0.0000,0.0000,629.0449,6767.3956
41,0.0000,0.0000,586.1559,6116.1113
42,0.0000,0.0000,531.1821,5525.9089
43,153.3923,0.0000,293.1832,5200.1499
44,401.2416,0.0000,0.0000,5200.1499
45,369.5771,0.0000,0.0000,5200.1499
46,280.6902,0.0000,0.0000,5200.1499
47,0.0000,0.0000,334.5781,4828.3964
48,0.0000,0.0000,488.1796,4285.9747
49,0.0000,0.0000,482.8039,3749.5260
50,0.0000,0.0000,438.3714,3262.4466
51,0.0000,0.0000,411.1575,2805.6050
52,0.0000,0.0000,332.6722,2435.9692
53,0.0000,0.0000,278.0051,2127.0746
54,0.0000,0.0000,262.8204,1835.0519
55,0.0000,0.0000,221.2838,1589.1811
56,0.0000,0.0000,150.5184,1421.9384
57,0.0000,0.0000,77.1854,1336.1769
58,0.0000,0.0000,36.0948,1296.0716
59,0.0000,0.0000,41.2573,1250.2301
60,0.0000,0.0000,45.2071,1200.0000
61,0.0000,16.2087,0.0000,1214.5879
62,0.0000,54.7878,0.0000,1263.8969
63,0.0000,67.5775,0.0000,1324.7166
64,0.0000,135.7131,0.0000,1446.8584
65,0.0000,183.8366,0.0000,1612.3113
66,669.4833,833.3333,0.0000,2362.3113
67,723.3959,833.3333,0.0000,3112.3113
68,723.4922,833.3333,0.0000,3862.3113
69,673.7563,833.3333,0.0000,4612.3113
70,653.0657,833.3333,0.0000,5362.3113
71,624.0982,833.3333,0.0000,6112.3113
72,558.3117,833.3333,0.0000,6862.3113
73,479.3120,833.3333,0.0000,7612.3113
74,460.7765,833.3333,0.0000,8362.3113
75,529.0496,833.3333,0.0000,9112.3113
76,633.5039,833.3333,0.0000,9862.3113
77,27.5446,200.6429,0.0000,10042.8899
78,0.0000,195.7367,0.0000,10219.0529
79,0.0000,138.0756,0.0000,10343.3209
80,0.0000,90.3004,0.0000,10424.5913
81,0.0000,95.1187,0.0000,10510.1981
82,0.0000,102.1991,0.0000,10602.1773
83,0.0000,104.7927,0.0000,10696.4908
84,0.0000,86.6550,0.0000,10774.4803
85,0.0000,28.3552,0.0000,10800.0000
86,0.0000,0.0000,18.5539,10779.3846
87,0.0000,0.0000,39.5171,10735.4767
88,0.0000,0.0000,70.2933,10657.3730
89,0.0000,0.0000,126.3585,10516.9747
90,180.6442,0.0000,0.0000,10516.9747
91,511.7911,314.4726,0.0000,10800.0000
92,248.8068,0.0000,0.0000,10800.0000
93,340.1425,0.0000,0.0000,10800.0000
94,402.7823,0.0000,0.0000,10800.0000
95,452.4524,0.0000,0.0000,10800.0000
96,507.3242,0.0000,0.0000,10800.0000
97,562.2616,-0.0000,0.0000,10800.0000
98,599.0672,0.0000,0.0000,10800.0000
99,630.7562,0.0000,0.0000,10800.0000
100,688.7355,0.0000,0.0000,10800.0000
101,742.7243,-0.0000,0.0000,10800.0000
102,787.4129,0.0000,0.0000,10800.0000
103,843.2325,-0.0000,0.0000,10800.0000
104,873.8552,-0.0000,0.0000,10800.0000
105,904.7238,0.0000,0.0000,10800.0000
106,973.0907,0.0000,0.0000,10800.0000
107,873.0032,0.0000,0.0000,10800.0000
108,682.3533,0.0000,0.0000,10800.0000
109,697.9973,0.0000,-0.0000,10800.0000
110,739.3082,0.0000,0.0000,10800.0000
111,709.2417,0.0000,0.0000,10800.0000
112,714.4228,0.0000,0.0000,10800.0000
113,135.5051,0.0000,609.4693,10122.8119
114,0.0000,0.0000,763.2067,9274.8045
115,0.0000,0.0000,746.7180,8445.1178
116,0.0000,0.0000,714.2555,7651.5006
117,0.0000,0.0000,699.4633,6874.3191
118,0.0000,0.0000,721.8114,6072.3065
119,0.0000,0.0000,728.4910,5262.8720
120,0.0000,0.0000,726.3683,4455.7961
121,0.0000,0.0000,764.3365,3606.5333
122,0.0000,0.0000,753.9438,2768.8179
123,0.0000,0.0000,702.5617,1988.1939
124,0.0000,0.0000,709.3745,1200.0000
125,719.8360,0.0000,0.0000,1200.0000
126,709.5417,0.0000,0.0000,1200.0000
127,715.0447,-0.0000,0.0000,1200.0000
128,736.4506,0.0000,0.0000,1200.0000
129,758.9333,0.0000,0.0000,1200.0000
130,754.3755,0.0000,-0.0000,1200.0000
131,666.9375,0.0000,-0.0000,1200.0000
132,553.1567,0.0000,0.0000,1200.0000
133,538.9015,0.0000,0.0000,1200.0000
134,553.3285,0.0000,0.0000,1200.0000
135,542.6400,0.0000,0.0000,1200.0000
136,524.0221,0.0000,0.0000,1200.0000
137,526.9696,0.0000,0.0000,1200.0000
138,549.4000,0.0000,0.0000,1200.0000
139,559.4013,0.0000,0.0000,1200.0000
140,543.6279,0.0000,0.0000,1200.0000
141,544.6217,0.0000,0.0000,1200.0000
142,600.6793,0.0000,0.0000,1200.0000
143,540.9782,0.0000,0.0000,1200.0000
144,400.1667,0.0000,-0.0000,1200.0000
