时段序号,计划购电量x_kWh,最终购电量y_kWh,充电量_kWh,放电量_kWh
1,1383.178150,1383.178150,833.333333,0.000000
2,1403.646833,1403.646833,833.333333,0.000000
3,1447.185000,1447.185000,833.333333,0.000000
4,1412.789500,1412.789500,833.333333,0.000000
5,1383.778250,1383.778250,833.333333,0.000000
6,1404.490000,1404.490000,833.333333,0.000000
7,1434.922383,1434.922383,833.333333,0.000000
8,1444.817083,1444.817083,833.333333,0.000000
9,1431.550000,1431.550000,833.333333,0.000000
10,583.935950,583.935950,0.000000,0.000000
11,590.995050,590.995050,0.000000,0.000000
12,1265.110000,1265.110000,666.666667,0.000000
13,1399.316950,1399.316950,833.333333,0.000000
14,546.120767,546.120767,0.000000,0.000000
15,565.713333,565.713333,0.000000,0.000000
16,597.926567,597.926567,0.000000,0.000000
17,600.954467,600.954467,0.000000,0.000000
18,587.131667,587.131667,0.000000,0.000000
19,605.210300,605.210300,0.000000,0.000000
20,621.892383,621.892383,0.000000,0.000000
21,620.168333,620.168333,0.000000,0.000000
22,616.623083,616.623083,0.000000,0.000000
23,612.463750,612.463750,0.000000,0.000000
24,603.930000,603.930000,0.000000,0.000000
25,589.794950,589.794950,0.000000,0.000000
26,581.464050,581.464050,0.000000,0.000000
27,585.585000,585.585000,0.000000,0.000000
28,599.729650,599.729650,0.000000,0.000000
29,616.739317,616.739317,0.000000,0.000000
30,625.595000,625.595000,0.000000,0.000000
31,619.496850,619.496850,0.000000,0.000000
32,617.844400,617.844400,0.000000,0.000000
33,1440.448333,1440.448333,833.333333,0.000000
34,1409.639967,1409.639967,833.333333,0.000000
35,671.463117,671.463117,0.000000,-0.000000
36,0.000000,0.000000,0.000000,827.015000
37,0.000000,0.000000,0.000000,769.534186
38,0.000000,0.000000,0.000000,680.832422
39,0.000000,0.000000,0.000000,640.000992
40,0.000000,0.000000,0.000000,595.873678
41,0.000000,0.000000,0.000000,563.316647
42,0.000000,0.000000,0.000000,525.473650
43,0.000000,0.000000,0.000000,442.619344
44,0.000000,0.000000,0.000000,395.588772
45,0.000000,272.667078,0.000000,90.865606
46,162.644686,270.996694,0.000000,0.000000
47,0.000000,0.000000,0.000000,321.448172
48,0.000000,0.000000,0.000000,473.511717
49,0.000000,0.000000,0.000000,462.821481
50,0.000000,0.000000,0.000000,401.480061
51,0.000000,0.000000,0.000000,362.158375
52,0.000000,0.000000,0.000000,303.142706
53,0.000000,0.000000,0.000000,259.668953
54,0.000000,0.000000,0.000000,215.615033
55,0.000000,0.000000,0.000000,135.177189
56,0.000000,0.000000,0.000000,89.047411
57,0.000000,0.000000,0.000000,74.946300
58,0.000000,0.000000,0.000000,9.862306
59,0.000000,0.000000,18.879506,0.000000
60,0.000000,0.000000,13.465767,0.000000
61,0.000000,0.000000,61.393475,0.000000
62,0.000000,0.000000,111.535183,0.000000
63,0.000000,0.000000,134.835025,0.000000
64,0.000000,0.000000,166.086117,0.000000
65,0.000000,0.000000,211.091308,0.000000
66,504.984933,0.000000,251.185950,0.000000
67,529.871383,529.871383,785.203881,0.000000
68,546.366183,0.000000,267.870694,0.000000
69,551.939150,0.000000,291.330725,0.000000
70,573.789600,46.328733,344.842006,0.000000
71,577.584450,509.581914,833.333333,0.000000
72,553.563367,456.527833,833.333333,0.000000
73,560.430481,444.035053,833.333333,0.000000
74,584.952044,449.196722,833.333333,0.000000
75,631.475575,476.360358,833.333333,0.000000
76,693.697322,519.222211,833.333333,0.000000
77,0.000000,0.000000,264.673269,0.000000
78,0.000000,0.000000,211.743783,0.000000
79,0.000000,0.000000,164.823933,0.000000
80,0.000000,0.000000,169.742700,0.000000
81,0.000000,0.000000,202.618367,0.000000
82,0.000000,0.000000,183.957983,0.000000
83,0.000000,0.000000,138.778983,0.000000
84,0.000000,0.000000,101.359617,0.000000
85,0.000000,0.000000,54.030992,0.000000
86,0.000000,0.000000,2.041133,0.000000
87,0.000000,0.000000,0.000000,51.023442
88,0.000000,0.000000,0.000000,82.213567
89,0.000000,0.000000,0.000000,117.414025
90,1166.366845,991.919833,833.333333,0.000000
91,1232.834200,1026.490122,833.333333,0.000000
92,445.018667,407.780251,157.955323,0.000000
93,510.151150,326.107750,0.000000,0.000000
94,554.398800,381.505739,0.000000,0.000000
95,595.825350,434.082628,0.000000,0.000000
96,641.129717,490.537333,0.000000,0.000000
97,663.993047,534.441339,0.000000,0.000000
98,686.053144,577.542111,0.000000,0.000000
99,719.580892,632.110533,0.000000,0.000000
100,765.334322,698.904639,0.000000,-0.000000
101,792.780953,747.391944,-0.000000,0.000000
102,808.775400,784.427067,0.000000,0.000000
103,850.335928,830.045650,0.000000,0.000000
104,873.664722,857.432500,-0.000000,0.000000
105,900.151867,887.977700,0.000000,0.000000
106,966.154844,958.038733,0.000000,0.000000
107,864.315072,860.257017,0.000000,0.000000
108,682.353333,682.353333,0.000000,-0.000000
109,697.997283,697.997283,0.000000,0.000000
110,740.237783,740.237783,0.000000,0.000000
111,709.241667,709.241667,0.000000,0.000000
112,714.422817,714.422817,0.000000,0.000000
113,135.576967,135.576967,0.000000,609.464100
114,0.000000,0.000000,0.000000,763.206667
115,0.000000,0.000000,0.000000,746.718033
116,0.000000,0.000000,0.000000,714.260300
