日期,a_仅0时,b_加6时,c_加6时12时,d_全调整,e_完全信息
2025-02-01,26208.0824,29364.6887,25846.9089,25846.9089,19828.1347
2025-02-02,56115.2719,55595.8972,55384.5136,55384.5136,51699.2683
2025-02-03,56699.5594,57896.7910,57886.9227,57886.9227,52988.7863
2025-02-04,58017.9826,57711.4980,58521.8700,58521.8700,53937.7391
2025-02-05,58510.7932,56358.8710,56387.6623,56387.6623,53301.7767
2025-02-06,58422.7646,57666.3861,58311.1662,58311.1662,52996.1932
2025-02-07,22349.9165,21862.6896,21974.4788,21974.4788,19351.5220
2025-02-08,29843.1536,21777.0824,22245.7953,22245.7953,18783.4904
2025-02-09,57839.6795,56850.5647,55998.6276,55998.6276,52397.1652
2025-02-10,52744.7174,61152.9430,53524.1608,53524.1608,48655.7447
2025-02-11,56491.2462,55633.0829,55338.8291,55338.8291,49476.0567
2025-02-12,53240.1922,56702.6910,56616.3626,56616.3626,49655.1991
2025-02-13,51282.5915,53657.7148,51497.0802,51497.0802,46534.2175
2025-02-14,26554.2105,21367.7656,21280.2201,21280.2201,18419.3506
2025-02-15,23308.1475,25765.2759,22652.4851,22652.4851,18455.0983
2025-02-16,53627.4890,58929.0421,59476.6756,59476.6756,49331.0396
2025-02-17,53295.8750,51584.9792,53250.9582,53250.9582,46240.7399
2025-02-18,56307.8032,54337.8580,51879.1143,51879.1143,46947.8693
2025-02-19,54124.1806,54522.7558,53027.1293,53027.1293,47823.0147
2025-02-20,50738.4615,52225.6003,51428.4190,51428.4190,46215.6837
2025-02-21,23417.3254,19967.6094,19658.5402,19658.5402,17519.1205
2025-02-22,21165.1966,20584.1072,21198.2980,21198.2980,17731.5029
2025-02-23,52344.7675,51420.2493,52024.3519,52024.3519,46422.3819
2025-02-24,52114.3211,49242.0432,48787.8592,48787.8592,44335.7846
2025-02-25,49095.8662,48727.1184,49171.0909,49171.0909,42819.9710
2025-02-26,55465.2160,51315.8456,49556.6054,49556.6054,44569.2221
2025-02-27,49831.6140,49000.5896,47966.2474,47966.2474,44034.2414
2025-02-28,22406.3473,20828.2713,20216.8096,20216.8096,16967.9402
2025-03-01,18493.9512,24352.4937,21999.4551,21999.4551,16512.2926
2025-03-02,53519.7791,51314.3341,50806.8213,50806.8213,47194.6925
2025-03-03,54337.6844,56824.8033,53870.3853,53870.3853,47149.5962
2025-03-04,54887.1417,51910.0361,50617.2734,50617.2734,44760.0300
2025-03-05,47346.7921,47631.7237,49462.6363,49462.6363,42773.4643
2025-03-06,49749.4314,49070.9707,47001.2735,47001.2735,42638.6249
2025-03-07,18501.9695,21644.8311,19924.9145,19924.9145,15754.9224
2025-03-08,19522.0501,19585.8727,17542.3588,17542.3588,15838.8907
2025-03-09,48186.1090,53925.1563,46960.3282,46960.3282,40994.2287
2025-03-10,51343.4751,51548.6936,48064.4704,48064.4704,43615.8268
2025-03-11,62337.8159,47565.1521,48100.7956,48100.7956,41183.6065
2025-03-12,44413.8097,54788.1585,45459.2307,45459.2307,40329.5988
2025-03-13,51559.8286,46687.2320,46825.1022,46825.1022,43445.2531
2025-03-14,20088.9868,20574.5618,19379.5726,19379.5726,15254.4285
2025-03-15,18515.3888,17165.7067,16905.2186,16905.2186,15666.2210
2025-03-16,47732.4945,45074.4478,44621.4579,44621.4579,40634.9811
2025-03-17,44248.3397,52973.9647,44836.8183,44836.8183,37331.5163
2025-03-18,44417.9877,44197.5722,44172.9690,44172.9690,39359.9371
2025-03-19,54949.9260,45882.7983,45256.1146,45256.1146,38367.9664
2025-03-20,52785.6422,59909.3737,50206.2807,50206.2807,40020.3821
2025-03-21,20233.7342,19518.6200,17776.9302,17776.9302,14801.7113
2025-03-22,15746.4137,19606.1741,17094.6723,17094.6723,14647.3243
2025-03-23,42696.2633,41647.1066,41806.3545,41806.3545,37678.0464
2025-03-24,40747.4939,41679.9628,41590.6854,41590.6854,37397.9241
2025-03-25,44638.9693,53774.5294,45994.0630,45994.0630,39103.5413
2025-03-26,43856.9267,39293.7018,40229.2400,40229.2400,35901.1577
2025-03-27,40696.8741,44714.9081,45342.7778,45342.7778,37654.8332
2025-03-28,17611.6041,16469.7050,15451.4177,15451.4177,14252.8110
2025-03-29,17908.9977,16700.3840,15989.7730,15989.7730,14442.4398
2025-03-30,41996.6252,43080.9406,45203.2377,45203.2377,35528.5706
2025-03-31,53648.2915,42532.6569,42349.0855,42349.0855,36454.0381
2025-04-01,43899.4356,42660.3899,42114.2282,42114.2282,38044.8898
2025-04-02,43857.8176,41396.6454,41643.2485,41643.2485,38300.2155
2025-04-03,41129.8541,40369.5204,39783.4071,39783.4071,36003.7149
2025-04-04,14700.3093,17477.7224,15965.1112,15965.1112,13527.3262
2025-04-05,22778.0704,18014.5477,18108.6411,18108.6411,13852.3827
2025-04-06,39721.8290,42354.1129,39228.0068,39228.0068,34935.6450
2025-04-07,49993.9049,38727.6139,39112.9069,39112.9069,34042.5689
2025-04-08,40583.4814,41398.9702,40896.8382,40896.8382,35220.7062
2025-04-09,47522.7851,41620.6667,41554.1139,41554.1139,37322.3242
2025-04-10,41207.3886,39930.0335,42053.2912,42053.2912,35185.9986
2025-04-11,17319.2414,15711.4793,16571.7579,16571.7579,13307.0959
2025-04-12,14451.1057,16359.4390,15276.6540,15276.6540,13034.2692
2025-04-13,42873.6015,43294.5063,39662.5951,39662.5951,34708.4067
2025-04-14,39491.6016,47938.4614,43171.1921,43171.1921,33400.8548
2025-04-15,44739.8326,37203.9946,37923.9252,37923.9252,32659.9428
2025-04-16,41812.4799,41736.0189,40707.1258,40707.1258,35186.5468
2025-04-17,47749.7811,39144.6554,40574.2541,40574.2541,33993.8462
2025-04-18,17798.3569,17212.2111,16998.5663,16998.5663,12477.3501
2025-04-19,18699.9957,19078.9497,14305.9206,14305.9206,12402.4335
2025-04-20,46421.4341,39166.9266,38245.1736,38245.1736,33104.6033
2025-04-21,37286.3264,43259.7543,41303.4785,41303.4785,31360.7578
2025-04-22,52544.5826,38535.3214,39303.5921,39303.5921,33077.5277
2025-04-23,50547.4572,40317.3318,37483.9790,37483.9790,32514.5077
2025-04-24,37669.9909,38724.6501,37906.1322,37906.1322,30855.4793
2025-04-25,15214.0375,14732.7746,14941.8865,14941.8865,11974.6810
2025-04-26,14375.3895,14968.4136,14010.1536,14010.1536,12346.2231
2025-04-27,45760.7471,41587.0524,38203.6095,38203.6095,31855.9702
2025-04-28,43783.1437,40600.1837,40046.5523,40046.5523,35361.8001
2025-04-29,41514.8038,38220.7325,35353.1208,35353.1208,31199.5775
