指标,数值,相对差
2025-03-20_4-2_缴费_元,40946.8065,-0.0001
2025-03-20_4-2_Σx_kWh,66475.1448,0.0001
2025-03-20_4-2_V_E_元每kWh,0.150222,0
2025-06-21_4-2_缴费_元,15300.5654,0.0001
2025-06-21_4-2_Σx_kWh,32516.2927,0.0003
2025-06-21_4-2_V_E_元每kWh,0.372778,0
2025-12-21_4-2_缴费_元,65556.9969,0.0005
2025-12-21_4-2_Σx_kWh,83770.2149,0.0006
2025-12-21_4-2_V_E_元每kWh,0.412111,0
2025-03-20_4-3_总费用J_元,51650.6616,0.0021
2025-03-20_4-3_计划购电费_元,39179.6808,0
2025-03-20_4-3_调整相关费_元,1762.9751,0
2025-03-20_4-3_紧急购电费_元,10708.0058,0
2025-03-20_4-3_Σr_kWh,2721.3976,0
2025-03-20_4-3_逐时段max|Δx|_kWh,0.000050,0
2025-03-20_4-3_逐时段max|Δy|_kWh,0.000050,0
2025-03-20_4-3_阶段0在6点处连续性_ΔE_kWh,0.000044,0
备注,MATLAB linprog(dual-simplex) 独立复算；口径与 lib/solve_day.py 一致（D-10 终端余值、D-12 结算、M2 分解）
