时段序号,MATLAB_x_kWh,Python_x_kWh,MATLAB_u_kWh,MATLAB_v_kWh
1,549.844817,549.844800,0.000000,0.000000
2,1403.646833,1403.646800,833.333333,0.000000
3,1447.185000,1447.185000,833.333333,0.000000
4,1412.789500,1412.789500,833.333333,0.000000
5,1383.778250,1383.778200,833.333333,0.000000
6,1404.490000,1404.490000,833.333333,0.000000
7,601.589050,601.589000,0.000000,0.000000
8,611.483750,611.483800,0.000000,0.000000
9,598.216667,598.216700,0.000000,0.000000
10,1417.269283,1417.269300,833.333333,0.000000
11,590.995050,590.995000,0.000000,0.000000
12,598.443333,598.443300,0.000000,0.000000
13,565.983617,565.983600,0.000000,0.000000
14,546.120767,546.120800,0.000000,0.000000
15,565.713333,565.713300,0.000000,0.000000
16,597.926567,597.926600,0.000000,0.000000
17,1434.287800,1434.287800,833.333333,0.000000
18,1420.465000,1420.465000,833.333333,0.000000
19,605.210300,605.210300,0.000000,0.000000
20,621.892383,621.892400,0.000000,0.000000
21,620.168333,620.168300,0.000000,0.000000
22,616.623083,616.623100,0.000000,0.000000
23,612.463750,612.463700,0.000000,0.000000
24,603.930000,603.930000,0.000000,0.000000
25,1423.127967,1423.128000,833.333333,0.000000
26,1414.797383,1414.797400,833.333333,0.000000
27,585.585000,585.585000,0.000000,0.000000
28,599.725133,599.725100,0.000000,0.000000
29,616.739317,616.739300,0.000000,0.000000
30,1292.261667,1292.261700,666.666667,0.000000
31,1452.767250,1452.767200,833.333333,0.000000
32,617.844400,617.844400,0.000000,0.000000
33,607.115000,607.115000,0.000000,0.000000
34,1408.763400,1408.763400,833.333333,0.000000
35,671.463117,671.463100,0.000000,-0.000000
36,0.000000,0.000000,0.000000,827.015000
37,0.000000,0.000000,0.000000,791.949933
38,0.000000,0.000000,0.000000,709.963317
39,0.000000,0.000000,0.000000,671.370833
40,0.000000,0.000000,0.000000,629.044867
41,0.000000,0.000000,0.000000,586.155917
42,0.000000,0.000000,0.000000,531.182083
43,446.575500,446.575500,0.000000,0.000000
44,401.241617,401.241600,0.000000,0.000000
45,98.705053,98.705100,0.000000,270.872030
46,280.690200,280.690200,0.000000,0.000000
47,0.000000,0.000000,0.000000,334.578067
48,0.000000,0.000000,0.000000,488.179583
49,0.000000,0.000000,0.000000,482.803850
50,0.000000,0.000000,0.000000,438.371400
51,0.000000,0.000000,0.000000,411.157500
52,0.000000,0.000000,0.000000,332.672183
53,0.000000,0.000000,0.000000,278.005133
54,0.000000,0.000000,0.000000,262.820417
55,0.000000,0.000000,0.000000,221.283767
56,0.000000,0.000000,0.000000,150.518367
57,0.000000,0.000000,0.000000,77.185417
58,0.000000,0.000000,0.000000,36.094750
59,0.000000,0.000000,0.000000,41.257350
60,0.000000,0.000000,0.000000,45.207083
61,0.000000,0.000000,16.208750,0.000000
62,0.000000,0.000000,54.787800,0.000000
63,0.000000,0.000000,67.577500,0.000000
64,0.000000,0.000000,135.713067,0.000000
65,0.000000,0.000000,183.836567,0.000000
66,669.483333,669.483300,833.333333,0.000000
67,723.395950,723.395900,833.333333,0.000000
68,723.492183,723.492200,833.333333,0.000000
69,673.756250,673.756200,833.333333,0.000000
70,653.065717,653.065700,833.333333,0.000000
71,624.098217,624.098200,833.333333,0.000000
72,558.311667,558.311700,833.333333,0.000000
73,479.312017,479.312000,833.333333,0.000000
74,460.776533,460.776500,833.333333,0.000000
75,529.049583,529.049600,833.333333,0.000000
76,633.503900,633.503900,833.333333,0.000000
77,0.000000,0.000000,173.098233,0.000000
78,0.000000,0.000000,195.736667,0.000000
79,0.000000,0.000000,138.075567,0.000000
80,0.000000,0.000000,90.300383,0.000000
81,0.000000,0.000000,95.118750,0.000000
82,0.000000,0.000000,102.199117,0.000000
83,0.000000,0.000000,104.792733,0.000000
84,0.000000,0.000000,86.655000,0.000000
85,0.000000,0.000000,28.355233,0.000000
86,0.000000,0.000000,0.000000,18.553900
87,0.000000,0.000000,0.000000,39.517083
88,0.000000,0.000000,0.000000,70.293283
89,0.000000,0.000000,0.000000,126.358517
90,180.644167,180.644200,0.000000,0.000000
91,511.791139,511.791100,314.472572,0.000000
92,248.806767,248.806800,-0.000000,0.000000
93,340.142500,340.142500,0.000000,0.000000
94,402.782267,402.782300,0.000000,0.000000
95,452.452450,452.452400,0.000000,0.000000
96,507.324167,507.324200,0.000000,0.000000
97,562.261550,562.261600,0.000000,0.000000
98,599.067217,599.067200,0.000000,0.000000
99,630.756250,630.756200,0.000000,-0.000000
100,688.735550,688.735600,0.000000,0.000000
101,742.724283,742.724300,0.000000,-0.000000
102,787.412917,787.412900,0.000000,0.000000
103,843.232450,843.232400,0.000000,0.000000
104,873.855183,873.855200,0.000000,0.000000
105,904.723750,904.723800,0.000000,0.000000
106,973.090750,973.090800,0.000000,0.000000
107,873.003183,873.003200,0.000000,0.000000
108,682.353333,682.353300,0.000000,-0.000000
109,0.000000,0.000000,0.000000,697.997283
110,0.000000,0.000000,0.000000,739.308217
111,709.241667,709.241700,0.000000,0.000000
112,0.000000,0.000000,0.000000,714.422817
113,0.000000,0.000000,0.000000,744.974333
114,0.000000,0.000000,0.000000,763.206667
115,0.000000,0.000000,0.000000,746.718033
116,158.840067,158.840100,0.000000,555.415433
117,699.463333,699.463300,0.000000,0.000000
118,0.000000,0.000000,0.000000,721.811400
119,0.000000,0.000000,0.000000,728.491000
120,726.368333,726.368300,0.000000,0.000000
121,0.000000,0.000000,0.000000,764.336517
122,0.000000,0.000000,0.000000,753.943817
123,702.561667,702.561700,0.000000,0.000000
124,0.000000,0.000000,0.000000,709.374483
125,719.835983,719.836000,0.000000,0.000000
126,709.541667,709.541700,0.000000,0.000000
127,715.044683,715.044700,0.000000,0.000000
128,736.450600,736.450600,0.000000,0.000000
129,758.933333,758.933300,0.000000,0.000000
130,754.375467,754.375500,0.000000,-0.000000
131,666.937533,666.937500,-0.000000,0.000000
132,553.156667,553.156700,0.000000,0.000000
133,1372.234800,1372.234800,833.333333,0.000000
134,553.328500,553.328500,0.000000,0.000000
135,542.640000,542.640000,0.000000,0.000000
136,524.022100,524.022100,0.000000,0.000000
137,526.969567,526.969600,0.000000,0.000000
138,0.000000,0.000000,0.000000,549.400000
139,433.801350,433.801300,0.000000,125.600000
140,543.627933,543.627900,0.000000,0.000000
141,544.621667,544.621700,0.000000,0.000000
142,600.679333,600.679300,0.000000,0.000000
143,540.978183,540.978200,0.000000,-0.000000
144,400.166667,400.166700,0.000000,-0.000000
