日期,天序号,时段序号,时段起,时段止,电价_元每kWh,负载_kW,光伏_kW,计划购电量_kWh,充电量_kWh,放电量_kWh,紧急购电量_kWh,时段末储电量_kWh,终端余值单价_元每kWh
2025-02-01,32,1,0:00,0:10,0.3281,2532.1822,0.0000,1255.3637,833.3333,0.0000,0.0000,1950.0000,0.4108
2025-02-01,32,2,0:10,0:20,0.3257,2492.4439,0.0000,1248.7406,833.3333,0.0000,0.0000,2700.0000,0.4108
2025-02-01,32,3,0:20,0:30,0.3041,2464.3000,0.0000,1244.0500,833.3333,0.0000,0.0000,3450.0000,0.4108
2025-02-01,32,4,0:30,0:40,0.3126,2581.7688,0.0000,1263.6281,833.3333,0.0000,0.0000,4200.0000,0.4108
2025-02-01,32,5,0:40,0:50,0.3286,2546.4635,0.0000,1257.7439,833.3333,0.0000,0.0000,4950.0000,0.4108
2025-02-01,32,6,0:50,1:00,0.3438,2436.3100,0.0000,406.0517,0.0000,0.0000,0.0000,4950.0000,0.4108
2025-02-01,32,7,1:00,1:10,0.3704,2620.5011,0.0000,436.7502,0.0000,0.0000,0.0000,4950.0000,0.4108
2025-02-01,32,8,1:10,1:20,0.3746,2710.7861,0.0000,451.7977,0.0000,0.0000,0.0000,4950.0000,0.4108
2025-02-01,32,9,1:20,1:30,0.3606,2676.4800,0.0000,446.0800,0.0000,0.0000,0.0000,4950.0000,0.4108
2025-02-01,32,10,1:30,1:40,0.3582,2830.5980,0.0000,471.7663,0.0000,0.0000,0.0000,4950.0000,0.4108
2025-02-01,32,11,1:40,1:50,0.3041,2688.1558,0.0000,1281.3593,833.3333,0.0000,0.0000,5700.0000,0.4108
2025-02-01,32,12,1:50,2:00,0.2537,2384.4200,0.0000,1230.7367,833.3333,0.0000,0.0000,6450.0000,0.4108
2025-02-01,32,13,2:00,2:10,0.3346,2604.5438,0.0000,1121.3234,687.2327,0.0000,0.0000,7068.5095,0.4108
2025-02-01,32,14,2:10,2:20,0.3971,2943.3655,0.0000,490.5609,0.0000,0.0000,0.0000,7068.5095,0.4108
2025-02-01,32,15,2:20,2:30,0.3670,3019.3200,0.0000,503.2200,0.0000,0.0000,0.0000,7068.5095,0.4108
2025-02-01,32,16,2:30,2:40,0.3185,2844.4369,0.0000,1307.4061,833.3333,0.0000,0.0000,7818.5095,0.4108
2025-02-01,32,17,2:40,2:50,0.3285,2768.3064,0.0000,1294.7177,833.3333,0.0000,0.0000,8568.5095,0.4108
2025-02-01,32,18,2:50,3:00,0.3772,2861.6500,0.0000,476.9417,0.0000,0.0000,0.0000,8568.5095,0.4108
2025-02-01,32,19,3:00,3:10,0.3815,2900.3973,0.0000,483.3996,0.0000,0.0000,0.0000,8568.5095,0.4108
2025-02-01,32,20,3:10,3:20,0.3822,2919.6115,0.0000,486.6019,0.0000,0.0000,0.0000,8568.5095,0.4108
2025-02-01,32,21,3:20,3:30,0.3962,2993.0900,0.0000,498.8483,0.0000,0.0000,0.0000,8568.5095,0.4108
2025-02-01,32,22,3:30,3:40,0.3879,3109.8584,0.0000,518.3097,0.0000,0.0000,0.0000,8568.5095,0.4108
2025-02-01,32,23,3:40,3:50,0.3405,3054.8008,0.0000,509.1335,0.0000,0.0000,0.0000,8568.5095,0.4108
2025-02-01,32,24,3:50,4:00,0.3164,2901.7000,0.0000,1316.9500,833.3333,0.0000,0.0000,9318.5095,0.4108
2025-02-01,32,25,4:00,4:10,0.3916,2947.1208,0.0000,491.1868,0.0000,0.0000,0.0000,9318.5095,0.4108
2025-02-01,32,26,4:10,4:20,0.4109,3027.8717,0.0000,504.6453,0.0000,0.0000,0.0000,9318.5095,0.4108
2025-02-01,32,27,4:20,4:30,0.3610,3033.4700,0.0000,505.5783,0.0000,0.0000,0.0000,9318.5095,0.4108
2025-02-01,32,28,4:30,4:40,0.3799,3019.3858,0.0000,503.2310,0.0000,0.0000,0.0000,9318.5095,0.4108
2025-02-01,32,29,4:40,4:50,0.4094,3017.0819,0.0014,502.8468,0.0000,0.0000,0.0000,9318.5095,0.4108
2025-02-01,32,30,4:50,5:00,0.4052,2997.8500,0.0000,499.6417,0.0000,0.0000,0.0000,9318.5095,0.4108
2025-02-01,32,31,5:00,5:10,0.3896,2932.7015,0.0000,488.7836,0.0000,0.0000,0.0000,9318.5095,0.4108
2025-02-01,32,32,5:10,5:20,0.3908,2991.1125,0.0199,498.5154,0.0000,0.0000,0.0000,9318.5095,0.4108
2025-02-01,32,33,5:20,5:30,0.3821,3175.3400,0.0000,529.2233,0.0000,0.0000,0.0000,9318.5095,0.4108
2025-02-01,32,34,5:30,5:40,0.3475,3284.4619,0.0000,547.4103,0.0000,0.0000,0.0000,9318.5095,0.4108
2025-02-01,32,35,5:40,5:50,0.5182,3187.3644,0.2774,0.0000,0.0000,531.1812,0.0000,8728.3082,0.4108
2025-02-01,32,36,5:50,6:00,0.8102,3065.9000,0.0000,0.0000,0.0000,510.9833,0.0000,8160.5489,0.4108
2025-02-01,32,37,6:00,6:10,0.8756,3211.1231,0.0000,0.0000,0.0000,535.1872,0.0000,7565.8965,0.4108
2025-02-01,32,38,6:10,6:20,0.8180,3203.9961,3.8641,0.0000,0.0000,533.3553,0.0000,6973.2794,0.4108
2025-02-01,32,39,6:20,6:30,0.7708,3027.1200,0.0000,0.0000,0.0000,504.5200,0.0000,6412.7017,0.4108
2025-02-01,32,40,6:30,6:40,0.7715,3117.3221,0.0000,0.0000,0.0000,519.5537,0.0000,5835.4198,0.4108
2025-02-01,32,41,6:40,6:50,0.8181,3398.4900,89.6095,0.0000,0.0000,551.4801,0.0000,5222.6641,0.4108
2025-02-01,32,42,6:50,7:00,0.8678,3652.7500,340.5000,0.0000,0.0000,552.0417,0.0000,4609.2845,0.4108
2025-02-01,32,43,7:00,7:10,0.8640,3703.2843,615.9360,0.0000,0.0000,514.5580,0.0000,4037.5534,0.4108
