日期,天序号,时段序号,时段起,时段止,电价_元每kWh,负载_kW,光伏实际_kW,光伏预报0_kW,光伏预报6_kW,光伏预报12_kW,光伏预报18_kW,计划购电量_kWh,调整购电量_kWh,欠取量_kWh,超用量_kWh,充电量_kWh,放电量_kWh,紧急购电量_kWh,弃光电量_kWh,时段末储电量_kWh,终端余值单价_元每kWh
2025-02-01,32,1,0:00,0:10,0.3281,2532.1822,0.0000,0.0000,0.0000,0.0000,0.0000,1255.3637,1255.3637,0.0000,0.0000,833.3333,0.0000,0.0000,0.0000,1950.0000,0.4108
2025-02-01,32,2,0:10,0:20,0.3257,2492.4439,0.0000,0.0000,0.0000,0.0000,0.0000,1248.7406,1248.7406,0.0000,0.0000,833.3333,0.0000,0.0000,0.0000,2700.0000,0.4108
2025-02-01,32,3,0:20,0:30,0.3041,2464.3000,0.0000,0.0000,0.0000,0.0000,0.0000,1244.0500,1244.0500,0.0000,0.0000,833.3333,0.0000,0.0000,0.0000,3450.0000,0.4108
2025-02-01,32,4,0:30,0:40,0.3126,2581.7688,0.0000,0.0000,0.0000,0.0000,0.0000,1263.6281,1263.6281,0.0000,0.0000,833.3333,0.0000,0.0000,0.0000,4200.0000,0.4108
2025-02-01,32,5,0:40,0:50,0.3286,2546.4635,0.0000,0.0000,0.0000,0.0000,0.0000,1257.7439,1257.7439,0.0000,0.0000,833.3333,0.0000,0.0000,0.0000,4950.0000,0.4108
2025-02-01,32,6,0:50,1:00,0.3438,2436.3100,0.0000,0.0000,0.0000,0.0000,0.0000,406.0517,406.0517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4950.0000,0.4108
2025-02-01,32,7,1:00,1:10,0.3704,2620.5011,0.0000,0.0000,0.0000,0.0000,0.0000,436.7502,436.7502,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4950.0000,0.4108
2025-02-01,32,8,1:10,1:20,0.3746,2710.7861,0.0000,0.0000,0.0000,0.0000,0.0000,451.7977,451.7977,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4950.0000,0.4108
2025-02-01,32,9,1:20,1:30,0.3606,2676.4800,0.0000,0.0000,0.0000,0.0000,0.0000,446.0800,446.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4950.0000,0.4108
2025-02-01,32,10,1:30,1:40,0.3582,2830.5980,0.0000,0.0000,0.0000,0.0000,0.0000,471.7663,471.7663,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4950.0000,0.4108
2025-02-01,32,11,1:40,1:50,0.3041,2688.1558,0.0000,0.0000,0.0000,0.0000,0.0000,1281.3593,1281.3593,0.0000,0.0000,833.3333,0.0000,0.0000,0.0000,5700.0000,0.4108
2025-02-01,32,12,1:50,2:00,0.2537,2384.4200,0.0000,0.0000,0.0000,0.0000,0.0000,1230.7367,1230.7367,0.0000,0.0000,833.3333,0.0000,0.0000,0.0000,6450.0000,0.4108
2025-02-01,32,13,2:00,2:10,0.3346,2604.5438,0.0000,0.0000,0.0000,0.0000,0.0000,807.5929,807.5929,0.0000,0.0000,373.5022,0.0000,0.0000,0.0000,6786.1520,0.4108
2025-02-01,32,14,2:10,2:20,0.3971,2943.3655,0.0000,0.0000,0.0000,0.0000,0.0000,490.5609,490.5609,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6786.1520,0.4108
